source_node,target_node,relation
notably  barriers,active progeny virus particles,represent major
clearly  subversion,intracytoplasmic virus locales,takes
broadening,new  therapies,inform on new
new host cell that,alike  tracks,aid in
aims,antibiotic quality use,were
logistic regression analyses,antibiotic index year,performed
italian medicines agency,safety warnings,decreased in
95ci 2.56–2.57,higher  antibiotics,hospitalized
high  use,antimicrobial study resistance,reinforces
differences,when  interventions,considered
objectives,clinical capital investment,nearpointofcare
excess  capacity,integrated tb services,assessed
design,10 health zimbabwe,pre/
tb testing treatment rates,post  integration,analyzed pre
treatment initiations,hiv testing,maintained
95 malawi conclusions,existing tb services,is feasible
efficient implementation that,clinical disease applications,serve as
undergraduate biology students,authentic research experiences,graduate without
laboratory courses,genuine cookbook research,follow
techniques,biotechnological  laboratory,cover
lab course,theoretical  concepts,based on
scientific  that,future workforce setting,prepare
that,2  sarscov2,immersed in
nucleocapsid e. students,serial rna structure,introduced
students,viral antisense gene genes,generate
gene therapy students,unique  target,generate
n target e,viral gene therapy gene,transfected into mammalian
various  epidemics,social diarrheal losses,caused serious
various  methods,such disease losses,proposed for effective
numerous occurrence factors,complex  factors,limited
infectious disease that,similar occurrence patterns,propose
we,infectious disease occurrence time,collect
then  we,latent time,construct
kmeans,dimension,conduct
we,south results,conduct
mental  that,significant  disability,is
facial recognition deficit ferd,healthy screening adults,appears
methods patients responses,previous  study,extracted from
discriminative  index,7 fer domains,determined by
suboptimal cutoff scores,prospective  users,recommended for prospective
0.72  limitations,old convenience generalizability,limit
ferd screener,high cutoff sensitivity,conclusion
therefore  it,erroneously  schizophrenia,be useful
ipe,better covid19 patients,readiness towards online
countries,causal  agent,continued
major  peoples,important  experience,taken
rural epidemic prevention,certain  particularities,is
study,rural chinas areas,summarizes
countries,rural chinas covid‐19,learn from
meanwhile  crisis,rural  development,viewed as
initially  we,structured equilibrium points,propose
later  we,optimal control epidemic,propose
$ crosses we,infected  equilibrium,see
\mu$,sensitivity analysis parameters,found
together  infectives,young  populationsage,suggests
second  control,controls,reduced
when  epidemic,7 age group,control
$ age u{12}$,basic reproduction number,was
effect,saturation treatment,explored
safe pharmacological it,©  authors,analyzes
responsible covid19 that,responsible covid19 pandemic,reported for
however  it,human sarscov2 hosts,is difficult
scalable vector graphics that,initial groundzero year,built interactive
zoonotic target that,such  covid19,is crucial
machine,s spike glycoprotein,employ
binding  that,endemic emergent strains,identified functional
38692  that,viral  n501,involve
transmissible sarscov2 variants,viral ramaswamy h. sarma,indicate
governments,key media strategies,use
data,social media who,differ from
governmental  systems,public implementation engagement,made
introduction,visual learning tools,been
efforts,medial quality technology,aimed for
emergence,educational  resources,highlighted
that,critical  situation,is
thus  it,such anatomy education,is crucial
project,cranial body cavity,objectives
different  features,schematic students experience,added in
students,gross anatomy courses,uploaded on
online  that,learning video,asked
2021  participants,such  canada,watched
features,human  body,shows
them,purpose,82.8 of
average  score,overall quiz video,given by
strongly  using,anatomical learning students,suggests
aldosterone receptor that,chemically  spironolactone,is
it,systolic heart dysfunction,indicated for
it,myocardial heart infarction,used as adjunctive
essential  who,other  agents,indicated for
it,essential aldosterone hypertension,is important
systematic  reviews,cardiovascular blood hypertension,evaluated
cardiovascular allcause events,adverse  events,were
2016  we,initial  search,handsearched
we,primary eplerenone hypertension,searched for unpublished
search,language restrictions,had
we,primary adult hypertension,randomized
where  participants,multiple  antihypertensives,excluded
three review authors,independently search criteria,reviewed
three review authors,standardized data extraction form,extracted
independent review author,discrepancies,resolved
we,standardized data covidence,performed
total,16 treatment weeks,participated in
daily  doses,400  daily,ranged from
11.08 blood i2,mg blood day,be
it,low quality evidence,is uncertain
who,adverse eplerenone placebo,appear
only  three,adverse  events,reported adverse
moderate  we,unclear bias assessment,were of moderate
authors conclusions,mg mmhg day,eplerenone
dose,mg blood day,produce
it,hypertensive eplerenone patients,is insufficient
healthcare employees,2 coronavirus sarscov2,tested for
employees,limited antibody exposure,had similar
guidelines,covid19 healthcare workers,seem effective
background,increasingly thyroid surgery,energybased hemostatic
goal,enhanced thyroid surgery,is
methods articles,embase cochrane databases,identified from
controlled  trials,headtohead clampandtie technique,included
two  reviewers,critically  study,appraised
who,dichotomous  format,extracted in dichotomous
bayesian network metaregression,pairwise comparisons,calculated by
2856  patients,controlled  trials,results thirtyfive
comparative  effectiveness,laryngeal nerve injury,seems superior
network metaanalysis,safer thyroid operations,offers preliminary
#  3dprinting,#  covid19,assumed
it,future manufacturing emergencies,establishes as
covid19 pandemic,clinical facetoface patients,forced
specialist services,videoconferencingtermed  telegenetics,consider
review,future service development,evaluates
systematic  review,clinical genetics services,conducted
thirteen  studies,compared telephone delivery,met
patient  satisfaction,genetic psychosocial inperson,were similar
telegenetics,knowledge anxiety,was
conclusions,evaluated  studies,limited by
longerterm use,which,is debatable
well community health factsheet,daily coronavirus disease iran;march,established
respiratory influenza problems,field,encountered in
infectious bronchitis virus ibv,together disease coinfections,detected
hypothesis,free laboratory chickens,tested
common field vaccine programs,coinfecting  agents,tested
i38/2014  virus,commercial sf1/2016 chickens,inoculated to commercial
vaccination,simultaneous ibv challenge,showed
lpai,simultaneous disease challenge,was
covid19 pandemic,profound addiction treatment,had
objective,service providers,is
virtual focus that,virtual focus groups,participated in virtual
we,them,recorded
qualitative  analysts,independently content transcripts,conducted
service providers,mental health issues,observed
many,social clinic settings,adopted flexible
approximately  half,videobased clinic services,offered
internet instability,technical  patients,limited
rapidly  that,sud service delivery,conclusion
telemedicinebased  services,uninterrupted patient care,played
telemedicine  that,quality patients,need organizational
opioid,opioid agonist treatment dependence,is
available oat options,buprenorphine  administration,comprise oral
heroinassisted treatment which,medical heroin diacetylmorphine dam,offered
injectable  ihat,deteriorated vein status,suffer from injectionrelated
who,oral snort ihat,inject
which,higher  risks,is
nasal dam nhat,suitable treatment patients,be
3 case who,successfully  nhat,present
results  this,clinical nasal hat,is
nhat,riskreduced rapidonset ihat,constitute
particular  it,oral opioiddependent oat,suited for
how  curcumin,adjuvant  covid19,is
phone i,grocery store,rings
nearly  i,treatment plant phone,miss
smoothly  one,water,hope
coronary stent intervention,af stent thrombosis,population with
however  patients,high bleeding risk,treated with
best  combination,different  therapies,are
evidence,dual  therapy,published
review,coronary af intervention,aims
furthermore  role,individual bleeding risk,discussed
where  it,realworld societal realworld japan,reached
however  studies,victimcentric language perspective,are rare
we,online  japan,incorporated
female case who,twitter,conducted
who,influencers,observed
each,different  manner,harassed
possible  individuals,possible  that,propose
recent  studies,psychological  pandemics,considered
primary  aim,psychological  covid19,was
furthermore  we,psychological  pandemic,aim
assessment,useful virus circulation,conducted by
young  individuals,stai questionnaires knowledge,participated to
wellbeing;moreover  we,higher  distress,identified
suggestions,current research trends,debated
proton pump frontier,ppirefractory refractory symptoms,shifted from
however  symptoms,less mucosal herregods,are
patients,often disease gerd gerd,have
review,ppirefractory  symptoms,discusses potential
major  concepts,persistent reflux symptoms,explored
these,ppirefractory  patients,exists
findings,satisfactory ppi therapy,is
hence  emphasis,symptom perception,shifts to
psychogenic  factors,ppirefractory  symptoms,is
2019 coronavirus covid19,high  death,background
published  data,severe kidney covid19,demonstrate
total,proven  study,methods
covid19,computed tomography findings,confirmed in
we,associated survival discharge,assessed
proteinuria,648  covid19,results
371  ten,patients,dialysis
risk factors,partial thromboplastin time,included
overall  162,29.9  aki,survive
hazard ratio hr,3.96 95 confidence aki,was
aki,common  covid19,was
risk factors,intravascular lung coagulation,included old
same  factors,arterial  mortality,found
here contact we,it,achieve
oxygen levels,alarming lowblood oxygen levels,deteriorating
premedical  we,sudden heart attacks,save
wirelessbased health monitoring that,integrated monitor sensor,describes
later  system,realtime patient,designed for
here communication data,two xbees coordinator xbee,use
indications,medical  officials,monitored
implementation,arduino uno microcontroller,achieved by
this,laboratoryconfirmed hong kong,is
prognostic  tool,next contingency outbreak,is essential
study,5 hospital admission,aims
2020 hong who,electronic health records system,did
it,pcr ct admission,covered demographic
study subjects,8:2  ratio,split into
extreme gradient,three disease severity day1,used
37.8 sd 53.8,them,were male
they,three disease outcome,grouped under
full accuracy models,clinical condition status,reduced into simpler
models accuracy rate,respectively day5 model,were
day1  models,accurately disease severity,predict
clinical  management,predicted  patients,planned according
model,clinical reference triage,transformed into
geriatric trauma patients,physiological  providers,purpose
nationwide  analysis,abdominal trauma bat,performed
elderly ventilator age,young ventilator age,analyzed
multivariate logistic regression mlr model,also  mortality,used
elderly  patients,young ventilator patients,had
ageassociated ci comorbidity,independent mortality odds ratio,showed
ageassociated  comorbidity,independent  mortality,appeared
online  version,10.1007  s00068020015958,contains supplementary
outbreak,emotional coronavirus disease world,induced
objective,mental health globe,is
new covid19 study,mental health outcomes,employs
they,mental covid19 pandemic,indicate
past  who,emotional  counterparts,is
mental welfare losses,globe,are enormous
multiple  therapies,clinical  trials,evaluated for
racially  that,eventually  medications,be
clinical  one,racial exclusion groups,are multiple
single health care we,nonhispanic trial whites,examined
whites,racial  groups,selfidentified
participants,black exclusion participants,met
antibiotic south resistance,tb control,renewed
mathematical  models,drugresistant tb,review
multiple drugresistant mycobacterium tuberculosis,combination chemotherapy,is multiple
factors,drugresistant,determine
interventions,tb,are effective
models,reproductive cost tb,offer
new knowledge research,effective drug control,highlight
purpose,2 utaut2 model,is
results,high school mathematics,revealed
theoretical  model,fit sem analysis,found
strongest  predictors,behavioral  intention,were hedonic
exogenous  variables,behavioral use behavior,explained
two oat avena sativa,two tyfton cynodom dactylon,chaetomium
experimental  design,6 factorial repetitions,was
experimental  unit,wet  compost,consisted of
c. olivacearum,compost,added to
productivity averages,04/49 a. sp,carried
c. olivacearum,negatively a. blazei,influenced
different  composts,oat basidiomata,influence
covid19 pandemic,intensive care units,caused
ill patients condition,deaths,resulted in
healthcare facilities,pandemic,got into
they,protective health equipment,had
hence medicolegal malpractice they,this,fear
italian  parliament,medical  no,debated
prosecutors office,several  them,initiated
where prosecutors office,extended care unit,reached
healthcare who,lives,change
italian medicolegal community,pending medicolegal claims,is
inflammatory  state,covid19,is limited
demographic july data,digital laboratory test database,retrieved from
who,hypertension  both,were older
who,p procalcitonin comparisons,had
age,crp thorax noaf,demonstrated
prevalence,general covid19 population,conclusion
age,high thorax noaf,used
diffuse lung it,independent noaf development,was
evidence,especially  young,emerged regarding
underlying  pathophysiology,detrimental interleukin6 lung,multistranded
this,critical  care,is crucial
ethnic  disparities,recent covid19 pandemic,highlighted by
public  study,ethnic  mix,examined
2.6 nursing that,ethnic  minorities,reported
that,protective minority pandemic,need additional
covid19 pandemic,societal longterm care,sharpened
recently china sarscov2,pathogenic  humans,expanded
pandemic  which,quick  infection,represents
present  report,new spectrum virus,uses
emerging silico sarscov2,lesser syndrome degree,merscov
moreover sarscov receptor ace2,novel  virus,be
therefore cell drugs,biological  protein,modulating biological
ibuprofen,viral  infection,suggested as potential
natural  domain,therapeutic s1 target,indicated
paper,clarity speech corpus,presents
clarity which,advancing speech signal challenges,created for
dataset,other machine speech,is suitable
data,grammatical speech intelligibility testing,comprises
collection process,associated sentence transcripts,involved
materials  data,public  health,retrieved from
data,open government thailand,travel in
paired  ttest,2019,used
productmoment correlation coefficient,studied  variables,pearsons
number,journeys,decreased
moreover  correlation,covid19 analysis,shown in
general uncertainty outputs,cultural  dimensions,implemented
mental gambling which,male problem athletes,was common
predictive  modeling,stateoftheart machine learning performance,uses black
often  features,actually  predictions,wishes
error rate,discoveries,lead to costly
modelx knockoffs,important  fdr,enable important
accurately knockoff they,socalled swap property,require rich
direct likelihood knockoffs which,directly knockoff swap property,develop deep
two  it,joint kl them,maximizes
possible  ddlk,gumbelsoftmax worstcase swap,uses
ddlk,large discovery covid19,find
upfront laboratory costs,widespread  adoption,restrict
we,expected payback period,analyzed
clinical depreciation data,tla costs,used
economic effectiveness evaluation,two  approaches,performed
incremental costeffectiveness ratio,costeffective performance indicators,used as
4.75  yrs,initial  investment,anticipated
tla,long hospital term,enhance
therefore capital investment,tla adoption,considered
covid19 scientists,resolutely sarscov2 virus,working
latest  that,imperative  vaccines,highlight
industrial manufacturing industry,economic  growth,been crucial
china,three catchup period,are
same  they,international exchange markets,reflect
advancement,high energy pollution,comes
therefore  study,carbonneutral pilot goal,provides
we,2025 manufacturing plan,assessed
strategic programming matrix qspm,strategic chinas manufacturing theories,used
study,carbon chinese manufacturing industry,is significant
we,carbonneutral  policies,suggested
globally  area,life,touched
reliable  synthesises,care,needed
health benefits,evidence,are undisputed
clinical  it,protective skintoskin care,need
review,how  covid19,aims
summary,healthcare professionals,used
current  publications,clinical covid19 practice,reviewed
coronavirus,breastmilk,states
breastfeeding,even  infant,outweigh possible
general infection control measures,place,be in
mothers,covid19 pandemic,cared for
still  infant,healthy  individual,supported
accessible health care information,current health care facilities,produced
phylogenetic  placement,sequencing highthroughput sequencing,refers to
similaritybased alternative e. it,evolutionary reference account,puts
thereby  one,existing sequence databases,increase
phylogenetic  placement,downstream analysis results,constitutes
common use case,environmental sample variables,is
we,ten  years,provide
how placement they,phylogenetic placement data,outline
climate change,public  interests,constructed
distributive climate change,international  actors,faces
european we,strategic policy interests,point
when climate contradictions,conceptual climate guides,analyze recent
sinobrazilian  relations,socioenvironmental  policies,visàvis
disempowered  manage,negative  invisibility,©
abstract  discovery,many health countries,sparked
earlier  it,respiratory  diseases,is
one  model,entire data set,developed
models,reasonably  data,agree
α duplication that,exponential  growth,gives
models,new data cases,used for
supplementary  which,authorized  users,contains supplementary
sarscov2,worldwide coronavirus disease,caused
antibody drugs,of covid19 patients,present
2  ace2,effectively host cells,antibodies
neutralizing  we,infected b patients,utilized virtual
potent p2b2f6 mutants,rbd  others,found
polar  interactions,heavy paratope chain,preferred near
mutations,also hydrogenbonding antibody,increase
optimized  antibodies,alarming sarscov2 n501y,possess potential
study,higher  antigen,provides
proposed antibody mutants,improved  covid19,hope
telehealth  modalities,social cancer distance,introduced during
this,telehealth expansion programme,is
telemonitoring  that,sarscov2related  symptoms,adapted
outpatients,tertiary cancer centre,enrolled
where  we,systematic throat washings,interface
prespecified sarscov2 alarms,positive pcr testing,resulted in
other covid19 symptoms,negative pretreatment testing,fever
one,477 throat washings,proved positive
rapid  adoption,feasible toxicity covid19,was feasible
clinical cancer care,decreased waiting time,maintained
systemic  screening,real throat improvement,offered
2020 hubei study,temperature pcr sarscov2,aims
2020 throat swabs,wuhan february,selected on
80  °,10,stored at
control aliquots,60 room min,stored at
realtime pcr,sarscov2,tested in
cycle threshold values,pcr,were positive
virus inactivation parameters,minimal pcr test results,suggest
65  c,reliable  testing,be sufficient
sarscov2,antiviral drug targets,encodes
plpro,15 host proteins,involved in
therefore  targeting,plpro,be
dihydrotanshinone i,plpro highthroughput screening,identified as
binding assay cell,flipgfp assay,aim
binding  which,enzymatic fret assay,showed
none,flipgfp  assay,showed cellular
more  efforts,plpro  inhibitors,needed
platelets,extracellular  coagulation,are at
extracellular  vesicles,also  origin,are
thus  pevs,platelet pathology,have
coronavirus disease‐19 covid‐19,high syndrome patients,is
we,special  covid‐19,introduce
covid19 pandemic,most  countries,affected
many,stringent health care system,implemented nationwide
this,so largescale vaccine,paralyzed economic
we,phased herd control,propose
this,successive  country,means
covid19related ic admissions,whole,stop stringent
herd immunity,area,need
we,stratified  country,explore
average  duration,further  developments,predicts
clearly  implementation,other  disciplines,have
resumen,describir,objetivo
métodos se realizó,medio de la función,verificó
de los casos,y sur de la ciudad,resultados
para aun los posibles,de la toma de muestra,represamientos
pandemic  it,pandemic  discovery,plays
gradually fever clinic,mobile isolation wards,introduced
mobile isolation that,waste management water drainage systems,combined with pandemic
this,fever,increased
mobile isolation wards,sudden  covid19,controlled new
we,mobile isolation characteristics,document
emerging  reports,serious  covid‐19,indicated
aspirin,respiratory distress covid‐19,is useful
5 covid‐19 total,quantitative covid‐19 analysis,found appropriate
quality,newcastle ottawa scale,assessed
fixed‐effect  model,95 confidence interval ci,used
0.70  which,lesser non‐aspirin group,found
0.00  0.04,outliers,observed after
clinical  evidence,valid  conclusion,required
social returntoplay walking,thin cover 1,fails
especially  athletes,all,is
eightythree,systematic sport rates,return
little vaccine research,disparities,differ in
it,effective  intervention,is critical
932 adult sgm participants,athome covid19 testing,responded about
bivariate  associations,sexual intersex traits,calculated
relatively  transgender,gay lesbian respondents,were
transgender individuals,as covid19 symptoms,were
black covid19 individuals,white covid19 participants,were
athome intersex who,intersex hiv,were
symptomology sgm that,covid19  interventions,show critical
covid19 outbreak,affected travel cities,changed
c2smart research team,mobility,investigating
most  .,initial  study,included in
allinone  dashboard,social transportation systems,developed for interactive
platform,informed impact decisions,updated
paper,preliminary sociability nyc,presents
that,various  indonesia,had
various  actions,problems,taken as
psychological  that,pandemic  phenomenon,is in
it,child psychology,believed
educational  that,covid19 pandemic,is
research method,descriptive smcr communication approach,is
long  they,health protocols,treated with
psychological play that,children,are
berbagai tindakan,mengatasi permasalahan tersebut,dilakukan
anak dan tingkat,fenomena pandemi covid19,pendidikan
melalui permainan edukatif,dengan psikologi anak,dipercaya
membuat permainan edukatif,dampak pandemi covid19,ular
ini berupa deskriptif eksplanatif dengan,komunikasi smcr source,menggunakan
permainan ular sebagai bentuk inovasi,penyampaian terjadi pada anak,dalam penyampaian
spatial  they,two  ears,have poor
deficit,speech,jeopardizes
spatial  hearing,bilateral  experience,develops with bilateral
sound localisation,auditory  pathways,demonstrates
generalizing,audiovisual multidomain training localisation,achieved by
virtualreality games ears,bilateral actionresearch protocol,was
action research protocol,formalized game implementations,used formalized
participatory  design,stakeholder cocreators,used
stakeholder participants,elements,customized
final  games,patients,agreed
additional  who,age  issues,were
clinical bears training using,quality  life,evaluated in
patients,outpatientbased  rehabilitation,allow
here bears games,traditional rehabilitation methods,is
ongoing chain management performance,ongoing covid19 crisis,seems
purpose,future supply chain bottlenecks,is
study,research contingency theory,reviewed current
paper,new supply chain strategy,reviewed several
need,related supply chain gaps,indicated
future united states,manufacturing  prowess,noted
é pelos e,medidas de prevenção,usuários
immunoassays mias,vitro  diagnostics,leading
specific  that,public health status,is
purpose,social path pandemic,was
design,random district mojokerto sampling,method
social  which,social support questionnaire ssq,was social
anxiety disorder7 which,cognitive  behavior,was
social  support,emotional  pandemic,are
when  people,pandemic peoples decreases,conclusion
evidence,covid19 nicotine infection,suggests
2 lung ace2,viral  entry,angiotensinconverting
ecigarette,male receptor nachr mice,investigated
surprisingly ace2 differences,females,induced
α5 nachr differences,nachr subunit expression,downregulated
blood sampling,sufficient lung ace2 changes,differ with
male lung which,increased coronavirus nicotine,indicate
when  crisis,coronavirus disease,facilitated by
lasting  providers,old  things,be
front  future,telehealth,discusses
covid19 information overload,psychological media wellbeing,reveals
social media which,social media discontinuance intention,heightened
predominant gen z fear,social media discontinuance intention,buffered
research,young  peoples,adds
we,postpandemic health time,offer
study,coronary artery obstruction basilica,objectives
coronary artery obstruction,aortic valve replacement tavr,is
we,catheter benchtop tavr,methods
procedure,swine,tested in
basilica,aortic valve replacement,offered
basilica,marketed  devices,used
catheters,center  line,directed
results tavr,pericardial  leaflets,splayed
basilica,pigs,was successful
necropsy,thermal length injury,revealed full
seven  patients,compassionate  basis,underwent
bioprosthetic  both,bioprosthetic  valves,failed bioprosthetic
aortic  2,aortic  regurgitation,had severe
one  patient,required  left,laceration of
patients,coronary  obstruction,had successful
patients,30  days,survived to
conclusions basilica,coronary  tavr,prevent coronary
procedure,prospective  trial,was successful
role,degenerated tavr devices,remains untested
service,current utilization demand,suggest
more cancer they,essential  patient,shown
psychosocial support services,better cancer life,makes
necessity,early  diagnosis,becomes
we,specifically  antisarscov2,aimed
affiliated realtime pcr technique,specific  primers,used
collected domain rbd sera,analysis,designed based
66  people,sarscov2,showed
designed elisa kit,sensitivity,showed
same  results,s protein,observed for
further  results,igm,increased
elisa test,early disease individuals,provide
importantly  it,best antibody titers,possesses
respiratory syndrome coronavirus sarscov2,respiratory health syndrome,had
lupus patients,viral  infections,suggests
this,immune  dysfunction,is likely
lupus patients,severe disease course,been
social  this,infection,advised
incidence,lupus patients,appear
clinical  course,general  population,seem
corticosteroids,these,are
corticosteroid  dexamethasone,respiratory covid19 support,suggests
prospective  studies,this,suggested
janus kinase inhibitors,host hyperinflammatory host response,shown
several  trials,positive jak patients,are ongoing
individualised risk assessment,sudden corticosteroid withdrawal,is important
loneliness,older  adulthood,imposes significant
how  discoveries,later health life,describe
2020  cases,educational entertainment miniseries,spread across
together  viewers,together  episodes,sought
how  viewers,global  pandemic,assessed
total,thematic chat approach,methods
demographic  data,youtube analytics,collected
miniseries,7.7 million mtv shuga platforms,had
series,unique 1 youtube,had
dominant  audience,35  years,was
it,public health measures,believed
storylines,young employment viewers,resonated with young
